SK_ID_CURR,N_BUREAU_LOANS,N_BUREAU_ACTIVE,N_BUREAU_BAD_DEBT,AVG_BUREAU_CREDIT_SUM
100001,7,3,0,207623.58
100002,8,2,0,108131.945
100003,4,1,0,254350.12
100004,2,0,0,94518.9
100005,3,2,0,219042.0
100007,1,0,0,146250.0
100008,3,1,0,156148.5
100009,18,4,0,266711.75
100010,2,1,0,495000.0
100011,4,0,0,108807.08
100013,4,0,0,518070.0
100014,8,2,0,341241.56
100015,4,0,0,102373.875
100016,7,4,0,67854.86
100017,6,0,0,143295.0
100019,2,2,0,360000.0
100020,4,2,0,49871.25
100022,2,2,0,528750.0
100023,13,4,0,126591.72
100025,1,1,0,2.4525e+06
100026,3,2,0,1.875e+06
100027,3,1,0,208432.5
100028,12,5,0,126739.59
100029,4,1,0,1.8570082e+06
100030,6,2,0,107238.49
100031,7,3,0,567235.94
100032,4,1,0,317790.0
100033,1,1,0,675000.0
100035,9,5,0,393898.38
100036,1,1,0,94959.0
100037,8,1,0,74016.56
100039,9,3,0,498788.0
100041,13,1,0,63254.242
100042,14,8,0,681475.5
100043,2,0,0,166860.0
100044,11,6,0,211790.4
100045,3,1,0,146018.12
100046,4,1,0,3.159315e+06
100047,5,3,0,1.9055268e+06
100048,1,0,0,22905.0
100049,7,5,0,121678.266
100050,3,0,0,247580.45
100053,8,1,0,84438.56
100054,2,1,0,52346.25
100055,7,4,0,403818.84
100057,8,1,0,369032.5
100058,4,2,0,202500.0
100059,5,1,0,431493.84
100060,5,0,0,54928.367
100061,1,0,0,37741.5
100062,2,0,0,540813.06
100063,18,7,0,278129.5
100064,2,2,0,81000.0
100065,13,4,0,131605.69
100066,3,1,0,316500.0
100067,17,5,0,190417.77
100068,5,1,0,230350.8
100069,4,2,0,1.5623314e+06
100070,6,3,0,1.4598e+06
100071,4,0,0,149514.75
100072,2,0,0,157358.25
100073,4,3,0,544245.75
100074,3,0,0,120324.84
100075,4,4,0,247891.5
100076,3,3,0,1.0986859e+06
100077,4,1,0,171864.0
100078,3,1,0,381000.0
100079,1,0,0,60781.5
100080,1,0,0,30150.0
100082,17,5,0,611411.5
100083,2,1,0,1.6189402e+06
100084,1,0,0,98100.0
100085,4,2,0,356799.38
100086,6,4,0,179655.83
100087,6,3,0,112834.25
100088,5,2,0,355500.0
100089,1,0,0,116545.5
100090,2,2,0,56520.9
100091,3,1,0,649948.5
100092,13,7,0,170352.03
100093,1,0,0,90000.0
100094,4,3,0,213750.0
100096,1,0,0,65610.0
100097,3,1,0,106431.06
100099,10,5,0,269217.44
