SK_ID_CURR,N_PREV_APPLICATIONS,N_PREV_REFUSED,N_PREV_APPROVED,PREV_REFUSED_RATIO
100001,1,0,1,0.0
100002,1,0,1,0.0
100003,3,0,3,0.0
100004,1,0,1,0.0
100005,2,0,1,0.0
100006,9,1,5,0.1111111111111111
100007,6,0,6,0.0
100008,5,0,4,0.0
100009,7,0,7,0.0
100010,1,0,1,0.0
100011,4,1,3,0.25
100012,4,0,3,0.0
100013,4,0,3,0.0
100014,2,0,2,0.0
100015,1,0,1,0.0
100016,4,0,4,0.0
100017,2,0,2,0.0
100018,4,0,4,0.0
100019,1,0,1,0.0
100020,2,0,2,0.0
100021,6,0,6,0.0
100022,1,0,1,0.0
100023,4,0,4,0.0
100025,8,0,7,0.0
100026,3,0,2,0.0
100027,4,1,2,0.25
100028,5,0,3,0.0
100029,1,0,1,0.0
100030,12,10,2,0.8333333333333334
100032,1,0,1,0.0
100033,1,0,1,0.0
100034,2,0,2,0.0
100035,22,8,8,0.36363636363636365
100036,8,3,2,0.375
100037,5,2,3,0.4
100038,2,0,1,0.0
100039,4,0,3,0.0
100040,1,0,1,0.0
100041,2,0,2,0.0
100042,9,0,9,0.0
100043,9,5,4,0.5555555555555556
100044,4,0,4,0.0
100045,4,0,4,0.0
100046,2,1,1,0.5
100047,6,2,4,0.3333333333333333
100048,4,0,3,0.0
100049,5,0,5,0.0
100050,3,0,2,0.0
100051,3,1,1,0.3333333333333333
100052,2,0,2,0.0
100053,5,1,2,0.2
100054,5,1,4,0.2
100055,2,0,2,0.0
100056,3,0,3,0.0
100057,4,0,3,0.0
100059,18,8,6,0.4444444444444444
100060,1,0,1,0.0
100061,6,0,5,0.0
100062,10,4,3,0.4
100063,9,3,4,0.3333333333333333
100064,1,0,1,0.0
100065,2,0,1,0.0
100066,9,1,5,0.1111111111111111
100067,23,13,7,0.5652173913043478
100068,1,0,1,0.0
100069,7,0,6,0.0
100070,2,0,2,0.0
100071,2,0,2,0.0
100072,10,2,3,0.2
100073,9,3,4,0.3333333333333333
100074,2,0,2,0.0
100075,7,2,4,0.2857142857142857
100077,26,12,4,0.46153846153846156
100078,11,4,4,0.36363636363636365
100079,3,2,1,0.6666666666666666
100080,7,0,4,0.0
100081,1,0,1,0.0
100082,15,9,4,0.6
100083,3,0,3,0.0
100084,7,2,3,0.2857142857142857
100085,3,2,1,0.6666666666666666
100086,7,1,1,0.14285714285714285
100087,5,0,5,0.0
100088,2,0,2,0.0
100089,4,1,2,0.25
100090,12,3,5,0.25
100091,6,2,2,0.3333333333333333
100092,6,0,5,0.0
100093,10,0,7,0.0
100094,1,0,1,0.0
100095,3,1,1,0.3333333333333333
100097,2,0,2,0.0
100098,7,1,3,0.14285714285714285
100099,12,10,2,0.8333333333333334
100100,5,0,5,0.0
100101,5,0,4,0.0
